iter	Passed	Remaining
0	144	144608
1	146	73090
2	147	49054
3	148	37023
4	150	30000
5	152	25204
6	153	21770
7	154	19192
8	155	17176
9	157	15576
10	158	14272
11	160	13183
12	161	12260
13	162	11469
14	164	10777
15	165	10179
16	166	9646
17	168	9176
18	169	8753
19	170	8374
20	172	8028
21	173	7714
22	174	7424
23	176	7160
24	177	6922
25	179	6706
26	180	6510
27	182	6330
28	184	6161
29	185	5996
30	187	5857
31	188	5716
32	190	5574
33	191	5446
34	193	5327
35	194	5210
36	195	5099
37	197	4993
38	198	4891
39	199	4796
40	201	4705
41	202	4619
42	203	4534
43	205	4455
44	206	4380
45	207	4309
46	209	4240
47	210	4176
48	211	4112
49	213	4051
50	214	3991
51	215	3934
52	217	3879
53	218	3825
54	219	3775
55	221	3726
56	222	3679
57	223	3632
58	224	3586
59	225	3540
60	227	3495
61	228	3454
62	229	3413
63	230	3373
64	231	3335
65	233	3298
66	234	3263
67	234	3220
68	236	3186
69	237	3153
70	238	3120
71	239	3089
72	240	3059
73	242	3031
74	243	3002
75	244	2973
76	245	2945
77	246	2917
78	248	2891
79	249	2865
80	250	2842
81	251	2818
82	252	2794
83	254	2770
84	254	2743
85	256	2722
86	256	2696
87	258	2675
88	259	2653
89	260	2632
90	261	2615
91	263	2596
92	264	2577
93	265	2558
94	266	2540
95	267	2522
96	269	2504
97	270	2487
98	271	2470
99	272	2453
100	273	2437
101	274	2416
102	275	2402
103	277	2387
104	278	2372
105	279	2356
106	280	2343
107	282	2329
108	283	2317
109	284	2303
110	285	2289
111	287	2275
112	288	2261
113	289	2249
114	290	2236
115	291	2222
116	292	2210
117	294	2199
118	295	2185
119	296	2174
120	297	2162
121	298	2150
122	299	2135
123	300	2123
124	301	2113
125	303	2102
126	304	2091
127	305	2078
128	306	2068
129	307	2057
130	308	2047
131	309	2037
132	310	2026
133	312	2018
134	313	2008
135	315	2002
136	316	1994
137	317	1985
138	319	1977
139	320	1968
140	321	1959
141	322	1949
142	323	1940
143	325	1932
144	326	1923
145	327	1914
146	328	1906
147	329	1897
148	330	1889
149	332	1881
150	333	1873
151	334	1865
152	335	1857
153	336	1850
154	338	1842
155	339	1835
156	340	1827
157	341	1820
158	342	1813
159	343	1805
160	345	1798
161	346	1791
162	347	1784
163	348	1777
164	349	1770
165	350	1762
166	352	1755
167	353	1748
168	354	1741
169	355	1734
170	356	1728
171	357	1722
172	358	1715
173	360	1709
174	361	1702
175	362	1696
176	363	1689
177	364	1683
178	365	1677
179	366	1671
180	367	1663
181	368	1657
182	369	1650
183	370	1644
184	372	1638
185	373	1633
186	374	1627
187	375	1621
188	376	1615
189	377	1610
190	378	1605
191	380	1599
192	381	1593
193	382	1588
194	383	1583
195	384	1577
196	385	1572
197	386	1566
198	387	1561
199	389	1556
200	390	1551
201	391	1545
202	392	1540
203	393	1535
204	394	1530
205	395	1524
206	396	1519
207	397	1514
208	398	1509
209	399	1504
210	401	1500
211	402	1495
212	403	1490
213	404	1486
214	405	1481
215	406	1476
216	407	1472
217	409	1468
218	410	1464
219	411	1459
220	412	1455
221	413	1450
222	414	1445
223	416	1441
224	417	1436
225	418	1432
226	419	1427
227	420	1423
228	421	1419
229	422	1414
230	423	1410
231	424	1406
232	425	1402
233	427	1397
234	428	1393
235	429	1389
236	430	1386
237	431	1382
238	433	1379
239	434	1375
240	435	1372
241	437	1369
242	438	1366
243	440	1363
244	441	1360
245	443	1358
246	444	1354
247	445	1350
248	446	1346
249	447	1342
250	448	1339
251	449	1335
252	451	1332
253	452	1329
254	453	1326
255	455	1322
256	456	1319
257	457	1316
258	459	1313
259	460	1310
260	461	1306
261	462	1303
262	463	1299
263	464	1295
264	465	1292
265	467	1288
266	468	1285
267	469	1281
268	470	1279
269	471	1276
270	473	1272
271	474	1269
272	475	1266
273	476	1262
274	477	1259
275	478	1255
276	479	1252
277	481	1249
278	482	1245
279	483	1242
280	484	1239
281	485	1235
282	486	1232
283	487	1229
284	488	1226
285	489	1222
286	491	1219
287	492	1216
288	493	1214
289	495	1212
290	496	1209
291	497	1206
292	498	1203
293	500	1200
294	501	1197
295	502	1194
296	503	1192
297	504	1189
298	506	1186
299	507	1183
300	508	1180
301	509	1177
302	510	1173
303	511	1171
304	512	1168
305	513	1165
306	514	1162
307	516	1159
308	517	1156
309	518	1153
310	519	1150
311	520	1147
312	521	1144
313	522	1141
314	524	1139
315	525	1136
316	526	1133
317	527	1130
318	528	1127
319	529	1125
320	530	1122
321	532	1121
322	533	1118
323	534	1116
324	536	1113
325	537	1110
326	538	1107
327	539	1104
328	540	1102
329	541	1099
330	542	1096
331	543	1093
332	544	1090
333	545	1088
334	546	1085
335	547	1082
336	548	1080
337	550	1077
338	551	1074
339	552	1072
340	553	1070
341	554	1067
342	555	1064
343	557	1062
344	558	1059
345	559	1057
346	560	1054
347	561	1051
348	562	1049
349	563	1046
350	564	1044
351	566	1042
352	567	1039
353	568	1037
354	569	1034
355	570	1032
356	571	1029
357	572	1026
358	573	1024
359	574	1021
360	575	1019
361	576	1016
362	578	1014
363	579	1011
364	580	1009
365	581	1007
366	582	1004
367	583	1002
368	584	999
369	585	997
370	586	994
371	587	992
372	589	990
373	590	987
374	591	985
375	592	983
376	593	980
377	594	978
378	595	976
379	596	973
380	597	971
381	598	968
382	600	966
383	601	964
384	602	962
385	603	960
386	604	957
387	605	955
388	607	953
389	608	951
390	609	948
391	610	946
392	611	944
393	612	941
394	613	939
395	614	937
396	615	934
397	616	932
398	617	930
399	618	927
400	619	925
401	620	923
402	621	921
403	623	919
404	624	916
405	625	914
406	626	912
407	627	910
408	628	908
409	629	905
410	630	903
411	631	901
412	632	899
413	633	896
414	634	894
415	635	892
416	636	890
417	637	888
418	638	885
419	639	883
420	640	881
421	641	879
422	643	877
423	644	875
424	645	873
425	646	871
426	647	869
427	648	866
428	649	864
429	650	862
430	651	860
431	652	858
432	653	856
433	655	854
434	656	852
435	657	850
436	658	847
437	659	845
438	660	843
439	661	841
440	662	839
441	663	837
442	664	835
443	665	833
444	666	831
445	668	829
446	669	828
447	670	826
448	671	824
449	672	822
450	673	820
451	674	817
452	675	815
453	676	813
454	677	811
455	678	809
456	679	807
457	681	805
458	682	804
459	683	802
460	684	800
461	685	798
462	686	796
463	687	794
464	688	792
465	689	790
466	690	788
467	691	786
