iter	Passed	Remaining
0	3	3863
1	9	4919
2	12	4290
3	18	4720
4	22	4476
5	24	3998
6	27	3873
7	32	4019
8	35	3898
9	36	3659
10	38	3444
11	40	3372
12	42	3203
13	43	3062
14	46	3022
15	47	2940
16	49	2844
17	50	2746
18	51	2674
19	53	2602
20	54	2532
21	55	2464
22	56	2407
23	58	2366
24	59	2335
25	61	2286
26	62	2238
27	63	2204
28	64	2170
29	66	2138
30	67	2108
31	68	2075
32	71	2080
33	72	2055
34	73	2026
35	74	1998
36	76	1999
37	78	1979
38	79	1956
39	80	1939
40	86	2031
41	89	2047
42	91	2033
43	93	2022
44	95	2022
45	97	2020
46	99	2009
47	100	1993
48	101	1978
49	103	1961
50	104	1946
51	105	1930
52	107	1920
53	110	1928
54	111	1919
55	113	1913
56	115	1913
57	117	1908
58	118	1897
59	121	1896
60	122	1885
61	123	1872
62	124	1859
63	126	1850
64	127	1840
65	129	1832
66	130	1821
67	132	1811
68	133	1806
69	135	1798
70	136	1791
71	138	1784
72	139	1774
73	141	1764
74	142	1754
75	143	1744
76	144	1738
77	146	1733
78	148	1730
79	149	1724
80	151	1719
81	153	1713
82	153	1700
83	155	1694
84	156	1689
85	158	1684
86	160	1679
87	161	1673
88	162	1667
89	164	1664
90	166	1658
91	167	1653
92	171	1672
93	173	1667
94	174	1661
95	176	1660
96	177	1656
97	179	1651
98	180	1643
99	182	1640
100	183	1633
101	184	1627
102	186	1621
103	187	1615
104	189	1611
105	190	1606
106	191	1600
107	193	1594
108	194	1590
109	195	1585
110	197	1581
111	198	1575
112	199	1569
113	201	1566
114	202	1560
115	204	1555
116	205	1547
117	206	1542
118	207	1538
119	209	1535
120	210	1530
121	211	1523
122	213	1520
123	214	1515
124	215	1511
125	217	1507
126	218	1500
127	219	1496
128	221	1492
129	222	1488
130	223	1483
131	225	1482
132	226	1478
133	228	1473
134	229	1469
135	230	1464
136	231	1461
137	233	1457
138	234	1453
139	236	1450
140	237	1448
141	238	1442
142	240	1438
143	241	1434
144	242	1430
145	244	1428
146	245	1425
147	247	1423
148	248	1419
149	249	1416
150	251	1413
151	252	1409
152	253	1405
153	255	1401
154	256	1400
155	258	1398
156	259	1394
157	260	1390
158	262	1386
159	263	1383
160	264	1377
161	265	1373
162	266	1369
163	268	1366
164	269	1363
165	270	1360
166	272	1356
167	273	1352
168	274	1349
169	275	1346
170	276	1342
171	278	1338
172	279	1335
173	280	1333
174	282	1330
175	283	1327
176	284	1323
177	285	1320
178	287	1316
179	288	1313
180	289	1311
181	291	1308
182	292	1305
183	293	1303
184	295	1301
185	296	1298
186	297	1294
187	299	1291
188	300	1288
189	301	1286
190	303	1285
191	304	1282
192	306	1280
193	307	1278
194	309	1276
195	310	1273
196	311	1270
197	313	1269
198	314	1266
199	315	1263
200	317	1260
201	318	1257
202	320	1256
203	321	1253
204	322	1250
205	323	1248
206	325	1247
207	327	1245
208	328	1242
209	329	1240
210	331	1238
211	332	1235
212	334	1234
213	335	1231
214	336	1229
215	338	1227
216	339	1225
217	340	1222
218	342	1219
219	343	1217
220	344	1215
221	346	1213
222	347	1210
223	348	1207
224	349	1205
225	351	1202
226	352	1199
227	353	1196
228	354	1194
229	356	1192
230	357	1189
231	358	1187
232	359	1184
233	361	1183
234	362	1181
235	364	1178
236	365	1175
237	366	1172
238	367	1170
239	368	1167
240	369	1164
241	371	1162
242	372	1160
243	373	1158
244	375	1155
245	376	1153
246	377	1150
247	378	1147
248	379	1144
249	380	1142
250	382	1140
251	383	1138
252	384	1135
253	385	1133
254	387	1131
255	388	1128
256	389	1126
257	390	1124
258	392	1121
259	393	1119
260	394	1117
261	395	1114
262	396	1112
263	398	1110
264	399	1108
265	400	1105
266	401	1103
267	403	1101
268	404	1099
269	405	1097
270	407	1095
271	408	1093
272	409	1090
273	410	1088
274	412	1086
275	413	1084
276	414	1082
277	416	1080
278	417	1079
279	419	1077
280	420	1075
281	421	1073
282	422	1071
283	424	1069
284	425	1067
285	426	1065
286	428	1063
287	429	1062
288	431	1061
289	432	1059
290	433	1057
291	435	1055
292	436	1053
293	438	1051
294	439	1049
295	440	1047
296	442	1048
297	444	1046
298	445	1044
299	446	1042
300	448	1041
301	449	1039
302	450	1037
303	451	1034
304	453	1033
305	455	1032
306	456	1031
307	458	1029
308	459	1027
309	461	1026
310	462	1024
311	463	1022
312	464	1020
313	466	1019
314	467	1017
315	469	1016
316	470	1014
317	472	1012
318	473	1010
319	474	1008
320	475	1006
321	477	1004
322	478	1002
323	479	1000
324	480	998
325	482	996
326	483	994
327	484	993
328	486	991
329	487	989
330	488	987
331	489	985
332	491	983
333	492	982
334	493	980
335	495	978
336	496	976
337	497	974
338	498	972
339	500	971
340	501	969
341	502	967
342	504	965
343	505	963
344	506	961
345	507	959
346	509	958
347	510	956
348	511	954
349	512	952
350	513	950
351	515	948
352	516	946
353	517	944
354	518	942
355	520	940
356	521	939
357	523	937
358	524	936
359	525	934
360	526	932
361	528	930
362	529	929
363	531	928
364	532	926
365	533	924
366	535	923
367	536	921
368	537	919
369	538	917
370	540	916
371	541	914
372	542	912
373	544	910
374	545	908
375	546	907
376	547	905
377	549	903
378	550	901
379	551	899
380	553	898
381	554	897
382	555	895
383	557	893
384	558	891
385	559	890
386	561	888
387	562	886
388	563	885
389	565	884
390	567	883
391	568	882
392	569	880
393	571	878
394	572	877
395	573	875
396	575	873
397	576	872
398	578	871
399	580	870
400	581	868
401	582	866
402	583	864
403	585	863
404	586	861
405	587	859
406	588	857
407	590	856
408	591	854
409	592	853
410	593	851
411	595	849
412	596	847
413	597	846
414	599	844
415	600	842
416	601	840
417	602	839
418	604	837
419	605	835
420	606	834
421	607	832
422	609	830
423	610	829
424	611	827
425	612	825
426	614	823
427	615	822
428	616	820
429	617	819
430	619	817
431	620	815
432	621	814
433	622	812
434	624	810
435	625	809
436	627	808
437	628	806
438	630	805
439	631	803
440	632	801
441	633	800
442	635	798
443	636	797
444	637	795
445	638	793
446	640	792
447	641	790
448	642	788
449	644	787
450	645	785
451	646	783
452	647	782
453	648	780
454	650	778
455	651	776
456	652	775
457	653	773
458	654	771
459	655	769
460	657	768
461	658	766
462	659	765
463	661	763
464	662	762
465	663	760
466	665	759
467	666	757
468	667	755
469	668	754
470	670	752
471	671	751
472	672	749
473	673	747
474	674	746
475	676	744
476	677	742
477	678	741
478	679	739
479	681	737
480	682	736
481	683	734
482	685	733
483	686	732
484	687	730
485	689	729
486	690	727
487	691	725
488	693	724
489	694	722
490	696	721
491	697	720
492	698	718
493	699	716
494	701	715
495	703	714
496	704	713
497	706	711
498	707	710
499	709	709
500	710	707
501	711	705
502	712	704
503	714	702
504	715	701
505	716	699
506	718	698
507	719	697
508	721	695
509	722	694
510	723	692
511	725	691
512	727	690
513	728	688
514	729	687
515	731	685
516	732	684
517	733	682
518	735	681
519	736	679
520	737	678
521	739	676
522	740	675
523	741	673
524	742	672
525	744	670
526	745	669
527	746	667
528	747	665
529	749	664
530	750	662
531	751	661
532	752	659
533	753	657
534	754	656
535	756	654
536	757	653
537	758	651
538	760	650
539	761	648
540	762	646
541	763	645
